His Dark Materials Season 1,#genre#
01,https://mudan.iii-kuyunzy.com/20191104/771_04439e37/index.m3u8
02,https://jingcai.cdn-vipkkyun.com/20191110/7748_8ef646d2/index.m3u8
04,https://jingcai.cdn-vipkkyun.com/20191118/8059_33595a81/index.m3u8
05,https://tudou.diediao-kuyun.com/20191125/8420_bf9200e9/index.m3u8
06,https://tudou.diediao-kuyun.com/20191201/8691_006432f1/index.m3u8
07,https://mudan.iii-kuyunzy.com/20191209/4908_aa40020c/index.m3u8
08,https://mudan.iii-kuyunzy.com/20191216/5808_0c04b962/index.m3u8
09,https://mudan.iii-kuyunzy.com/20191223/6820_7ff32a7c/index.m3u8

Philippines,#genre#
Beam TV,https://d3cbe0gidjd4k2.cloudfront.net/channel_5/channel5/chunklist_w1001324973.m3u8
CNN Philippines01,http://df7lqp0btxdx2.cloudfront.net/11227_500.m3u8
CNN Philippines02,http://54.251.134.121:1935/live/15273.sdp/playlist.m3u8
CNN Philippines03,https://d3cbe0gidjd4k2.cloudfront.net/channel_7/channel7/chunklist_w842017402.m3u8
